state,column,ballotPosition,surname,ballotGivenName,groupName,partyBallotName
WA,I,4,IVES,Verity,The Greens (WA) Inc,The Greens (WA) Inc
WA,I,5,LONSDALE,Heather,The Greens (WA) Inc,The Greens (WA) Inc
WA,J,1,CARRIE-WILSON,Tian,FUSION | Planet Rescue | Whistleblower Protection | Innovation,FUSION | Planet Rescue | Whistleblower Protection | Innovation
WA,J,2,ALDERDICE,Tamara,FUSION | Planet Rescue | Whistleblower Protection | Innovation,FUSION | Planet Rescue | Whistleblower Protection | Innovation
WA,K,1,SOBIERALSKI,Jade,Socialist Alliance,Socialist Alliance
WA,K,2,BREEN,Riley,Socialist Alliance,Socialist Alliance
WA,L,1,WHITEAKER,Ellie,Australian Labor Party,Australian Labor Party
WA,L,2,GHOSH,Varun,Australian Labor Party,Australian Labor Party
WA,L,3,SINGH,Deep,Australian Labor Party,Australian Labor Party
WA,L,4,DEWAN,Tarun,Australian Labor Party,Australian Labor Party
WA,L,5,WHITE,Ally,Australian Labor Party,Australian Labor Party
WA,L,6,OSWALD,Brock,Australian Labor Party,Australian Labor Party
WA,M,1,WHITTEN,Tyron,Pauline Hanson's One Nation,Pauline Hanson's One Nation
WA,M,2,DOYLE,Conor,Pauline Hanson's One Nation,Pauline Hanson's One Nation
WA,N,1,MEOTTI,Jason,Legalise Cannabis Party,Legalise Cannabis Party
WA,N,2,D'ATH,Melissa Rose,Legalise Cannabis Party,Legalise Cannabis Party
WA,O,1,ANAGNO,Michael,Animal Justice Party,Animal Justice Party
WA,O,2,STEWART,Grant,Animal Justice Party,Animal Justice Party
WA,P,1,KRAKOUER,Megan,Australia's Voice,Australia's Voice
WA,P,2,LA MACCHIA,Tano,Australia's Voice,Australia's Voice
WA,Q,1,BROCKMAN,Slade,Liberal,Liberal
WA,Q,2,O'SULLIVAN,Matt,Liberal,Liberal
WA,Q,3,BOTHA,Trish,Liberal,Liberal
WA,Q,4,MATHEWS,Jennifer,Liberal,Liberal
WA,R,1,BROWN,Paul,The Nationals,The Nationals
WA,R,2,MILES,Jeremy,The Nationals,The Nationals
WA,UG,1,CAO,Ky,,Independent
WA,UG,2,MUBARAK,Kim,,Independent
